"date";"category";"value"
"2025-05-31";"Ярославская область";78580
"2025-04-30";"Алтайский край";89388
"2025-04-30";"Амурская область";126493
"2025-04-30";"Архангельская область";102665
"2025-04-30";"Астраханская область";74380
"2025-04-30";"Белгородская область";81129
"2025-04-30";"Брянская область";70029
"2025-04-30";"Владимирская область";73387
"2025-04-30";"Волгоградская область";81534
"2025-04-30";"Вологодская область";77370
"2025-04-30";"Воронежская область";92726
"2025-04-30";"Еврейская автономная область";81691
"2025-04-30";"Забайкальский край";107685
"2025-04-30";"Ивановская область";72306
"2025-04-30";"Иркутская область";92075
"2025-04-30";"Кабардино-Балкарская Республика";70042
"2025-04-30";"Калининградская область";105877
"2025-04-30";"Калужская область";91993
"2025-04-30";"Камчатский край";125303
"2025-04-30";"Карачаево-Черкесская Республика";83810
"2025-04-30";"Кемеровская область";79945
"2025-04-30";"Кировская область";86703
"2025-04-30";"Костромская область";70399
"2025-04-30";"Краснодарский край";145833
"2025-04-30";"Красноярский край";92394
"2025-04-30";"Курганская область";72029
"2025-04-30";"Курская область";95697
"2025-04-30";"Ленинградская область";131414
"2025-04-30";"Липецкая область";75607
"2025-04-30";"Магаданская область";124274
"2025-04-30";"Москва";304209
"2025-04-30";"Московская область";149029
"2025-04-30";"Мурманская область";79595
"2025-04-30";"Ненецкий автономный округ";105827
"2025-04-30";"Нижегородская область";105930
"2025-04-30";"Новгородская область";80465
"2025-04-30";"Новосибирская область";112283
"2025-04-30";"Омская область";99675
"2025-04-30";"Оренбургская область";66869
"2025-04-30";"Орловская область";75769
"2025-04-30";"Пензенская область";78691
"2025-04-30";"Пермский край";78969
"2025-04-30";"Приморский край";131223
"2025-04-30";"Псковская область";75055
"2025-04-30";"Республика Адыгея";91184
"2025-04-30";"Республика Алтай";165699
"2025-04-30";"Республика Башкортостан";81311
"2025-04-30";"Республика Бурятия";118127
"2025-04-30";"Республика Дагестан";84009
"2025-04-30";"Республика Ингушетия";33437
"2025-04-30";"Республика Калмыкия";91487
"2025-04-30";"Республика Карелия";84713
"2025-04-30";"Республика Коми";73708
"2025-04-30";"Республика Крым";161865
"2025-04-30";"Республика Марий Эл";84346
"2025-04-30";"Республика Мордовия";85235
"2025-04-30";"Республика Саха (Якутия)";130384
"2025-04-30";"Республика Северная Осетия — Алания";81632
"2025-04-30";"Республика Татарстан";112006
"2025-04-30";"Республика Тыва";105499
"2025-04-30";"Республика Хакасия";80505
"2025-04-30";"Россия";114170
"2025-04-30";"Ростовская область";94156
"2025-04-30";"Рязанская область";77619
"2025-04-30";"Самарская область";90645
"2025-04-30";"Санкт-Петербург";210179
"2025-04-30";"Саратовская область";77214
"2025-04-30";"Сахалинская область";138817
"2025-04-30";"Свердловская область";91405
"2025-04-30";"Севастополь";157298
